Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,04-12-2016 00:00:00,20,0.333333
1503960366,04-12-2016 01:00:00,8,0.133333
1503960366,04-12-2016 02:00:00,7,0.116667
1503960366,04-12-2016 03:00:00,0,0
1503960366,04-12-2016 04:00:00,0,0
1503960366,04-12-2016 05:00:00,0,0
1503960366,04-12-2016 06:00:00,0,0
1503960366,04-12-2016 07:00:00,0,0
1503960366,04-12-2016 08:00:00,13,0.216667
1503960366,04-12-2016 09:00:00,30,0.5
1503960366,04-12-2016 10:00:00,29,0.483333
1503960366,04-12-2016 11:00:00,12,0.2
1503960366,04-12-2016 12:00:00,11,0.183333
1503960366,04-12-2016 13:00:00,6,0.1
1503960366,04-12-2016 14:00:00,36,0.6
1503960366,04-12-2016 15:00:00,58,0.966667
1503960366,04-12-2016 16:00:00,13,0.216667
1503960366,04-12-2016 17:00:00,16,0.266667
1503960366,04-12-2016 18:00:00,29,0.483333
1503960366,04-12-2016 19:00:00,39,0.65
1503960366,04-12-2016 20:00:00,41,0.683333
1503960366,04-12-2016 21:00:00,31,0.516667
1503960366,04-12-2016 22:00:00,9,0.15
1503960366,04-12-2016 23:00:00,21,0.35
1503960366,04-13-2016 00:00:00,14,0.233333
1503960366,04-13-2016 01:00:00,0,0
1503960366,04-13-2016 02:00:00,0,0
1503960366,04-13-2016 03:00:00,4,0.066667
1503960366,04-13-2016 04:00:00,0,0
1503960366,04-13-2016 05:00:00,0,0
1503960366,04-13-2016 06:00:00,0,0
1503960366,04-13-2016 07:00:00,8,0.133333
1503960366,04-13-2016 08:00:00,12,0.2
1503960366,04-13-2016 09:00:00,27,0.45
1503960366,04-13-2016 10:00:00,15,0.25
1503960366,04-13-2016 11:00:00,16,0.266667
1503960366,04-13-2016 12:00:00,15,0.25
1503960366,04-13-2016 13:00:00,10,0.166667
1503960366,04-13-2016 14:00:00,46,0.766667
1503960366,04-13-2016 15:00:00,13,0.216667
1503960366,04-13-2016 16:00:00,10,0.166667
1503960366,04-13-2016 17:00:00,23,0.383333
1503960366,04-13-2016 18:00:00,25,0.416667
1503960366,04-13-2016 19:00:00,13,0.216667
1503960366,04-13-2016 20:00:00,0,0
1503960366,04-13-2016 21:00:00,0,0
1503960366,04-13-2016 22:00:00,11,0.183333
1503960366,04-13-2016 23:00:00,56,0.933333
1503960366,04-14-2016 00:00:00,4,0.066667
1503960366,04-14-2016 01:00:00,3,0.05
1503960366,04-14-2016 02:00:00,0,0
1503960366,04-14-2016 03:00:00,0,0
1503960366,04-14-2016 04:00:00,0,0
1503960366,04-14-2016 05:00:00,0,0
1503960366,04-14-2016 06:00:00,0,0
1503960366,04-14-2016 07:00:00,0,0
1503960366,04-14-2016 08:00:00,0,0
1503960366,04-14-2016 09:00:00,14,0.233333
1503960366,04-14-2016 10:00:00,23,0.383333
1503960366,04-14-2016 11:00:00,7,0.116667
1503960366,04-14-2016 12:00:00,18,0.3
1503960366,04-14-2016 13:00:00,54,0.9
1503960366,04-14-2016 14:00:00,22,0.366667
1503960366,04-14-2016 15:00:00,7,0.116667
1503960366,04-14-2016 16:00:00,25,0.416667
1503960366,04-14-2016 17:00:00,5,0.083333
1503960366,04-14-2016 18:00:00,12,0.2
1503960366,04-14-2016 19:00:00,1,0.016667
1503960366,04-14-2016 20:00:00,24,0.4
1503960366,04-14-2016 21:00:00,57,0.95
1503960366,04-14-2016 22:00:00,17,0.283333
1503960366,04-14-2016 23:00:00,0,0
